Metropolitan Statistical Area,First         Quarter       2025,Second         Quarter       2025,Third         Quarter       2025,Fourth         Quarter       2025
"New Haven-Milford, CT..............................................................................................................................................................",59.4,64.3,61.3,68.5
"New Orleans-Metairie, LA.18....................................................................................................................................",64.5,62.6,70.2,67.9
"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",50,50.6,51.2,50.1
"North Port-Bradenton-Sarasota, FL.......................................................................................................",80.8,81,73.2,76.3
"Oklahoma City, OK.............................................................................................................................................................................",60.2,65.7,68.8,65.2
"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",62.5,67.1,68.8,73.3
"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",64.4,64.1,60.6,59.3
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",66.5,66.8,69.7,69.9
"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",67.2,67.2,70.5,67.2
"Pittsburgh, PA.....................................................................................................................................................................................................",72.4,73.5,72.4,72.6
"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",63.7,65,66.2,65.9
"Providence-Warwick, RI-MA23.........................................................................................................................",70.2,66.6,63.5,64.8
"Raleigh, NC24............................................................................................................................................................................",66.8,66.6,65.1,62.3
"Richmond, VA.........................................................................................................................................................................",65.3,65.2,66.3,68.5
"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",68.8,64.3,62.4,63.9
"Rochester, NY...........................................................................................................................................................................................",66,69.7,73.6,74.8
"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",67.5,61.8,63.7,61.5
"St. Louis, MO-IL..................................................................................................................................................................................",69.4,69.4,68.8,71.9
"Salt Lake City, UT....................................................................................................................................................................",64.6,64.6,69.1,67.8
"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",66.1,63.9,61.4,60.6
"San Diego-Carlsbad, CA27.................................................................................................................................",48.4,53,50.7,54.1
"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",56.3,55.9,54.3,59.1
"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",47.3,51.1,59.7,54.8
