year,absorption,absorption_delta,msa,occ,occupancy_delta,pop,demolished_pct,rent_growth,real_rentpsf,real_rent_growth,starts_pct,inventory,RDI,real_rent_growth_next_year,real_relative_rent_growth,RDI_growth,supply_growth,real_relative_rg_next_year,supply_5yr_fwd,rrg_5yr_fwd,rrrg_5yr_fwd,RDI_growth_5yr,pop_growth,sales_volume_growth,demand,predicted_demand,exog_shock,pct_international_mig_
2009,0.00055,-0.004634,Pittsburgh - PA,0.935709893703461,0.005963325500489058,2356374.0,0.0,-0.014485134743154,0.8850730357318027,-0.010485134743154,0.0018894444572455586,87183,2.5983515997052757,0.0022875748723744996,0.01608156692236665,-0.002810335038145094,0.00443558607341183,0.011747683631256185,0.03554301580265068,-0.04424932310357692,-0.016287627397105132,,-0.00789286078012319,0.0005184451254637203,false,-0.007468005840677576,0,0.06
2010,0.000869,0.00031899999999999995,Pittsburgh - PA,0.938084602355957,0.002374708652496005,2361062.0,0.00011470126056685363,0.0182875748723745,0.88641794571841,0.0022875748723744996,0.0027298900014911163,87359,2.5725966809648897,-0.021097380079329,0.011747683631256185,-0.009912022200270109,0.002018742185976624,0.00018639443442229967,0.06571019241559786,-0.027115616519004123,-0.03887748159468172,-0.06071932698914371,0.19894974227350204,0.0006537971852310656,false,0.020605996303513043,0,0.03
2011,0.000137,-0.000732,Pittsburgh - PA,0.940291285514832,0.002206683158874956,2369409.0,0.0,0.010902619920671,0.8663367051678527,-0.021097380079329,0.006776634347920649,87538,2.544379381701137,-0.011768132731318472,0.00018639443442229967,-0.010968411594610818,0.0020490161288476286,-0.006329926662147071,0.08699157767692037,-0.0031859147213399216,-0.04938511131331322,-0.05761576891591578,0.35352735336895424,0.0005837978914593802,false,0.02564106106166176,0,0.13
2012,0.002328,0.0021910000000000002,Pittsburgh - PA,0.941393494606018,0.0011022090911859683,2375563.0,0.0012908679659119468,0.00923186726868153,0.8557701198741524,-0.011768132731318472,0.017592359889419453,88029,2.547411688558634,-0.0027399429678916995,-0.00641552545130257,0.0011917667936255374,0.0056089926660421755,-0.0088667143136263,0.1033844508194127,-0.0015108956806361516,-0.055852273013442644,-0.06382477863939351,0.25972721467673043,0.000639722177797071,true,-0.016456429692314596,0,0.12
2013,0.001103,-0.0012250000000000002,Pittsburgh - PA,0.939897954463959,-0.001495540142058993,2379831.0,0.0000567994638130616,0.0122600570321083,0.8574134957409894,-0.0027399429678916995,0.01942541662406707,88780,2.550927922948483,-0.01093144219741225,-0.0088667143136263,0.0013803165015069477,0.008531279464721852,-0.01293946569785475,0.10693522263674211,0.013767689187079648,-0.043581939768046044,-0.02111868553789354,0.17966267364830646,0.0008179122789080871,true,-0.016605988551199394,0,0.16
2014,-0.001771,-0.002874,Pittsburgh - PA,0.936105191707611,-0.0037927627563479893,2381261.0,0.0006870916873169632,0.00506855780258775,0.8439109210049108,-0.01093144219741225,0.029770218517684164,90319,2.543559192271214,0.019421281456947298,-0.01293946569785475,-0.0028886471510930914,0.0173349853570624,-0.010842170566320398,0.09509284961474934,0.0384555920511484,-0.034687208011746296,-0.021196997650841536,0.060088300387706184,0.0007096192836224375,false,-0.004628795789344895,0,0.18
2015,0.004215,0.005986,Pittsburgh - PA,0.922917366027832,-0.013187825679778942,2378913.0,0.00022143734983779713,0.0204212814569473,0.8641445494805531,0.019421281456947298,0.029805467288167495,93226,2.583555174795903,0.002832321718335201,-0.010842170566320398,0.015724415868213167,0.03218591879892382,-0.0103212352842092,0.07672470948948003,0.010156886873766794,-0.051571651594713205,0.00443944041764174,-0.09860321905074132,0.0008857493993511885,true,-0.06847613118956512,0,0.16
2016,0.003542,-0.000673,Pittsburgh - PA,0.918825745582581,-0.004091620445251021,2376518.0,0.0025100293909424407,0.0158323217183352,0.8669256469559881,0.002832321718335201,0.023952545427241328,95401,2.5894311625528355,-0.010093113690614702,-0.0103212352842092,0.002274380595489514,0.023330401390170123,-0.012882687151432,0.06836582642599917,0.019956035746261393,-0.07220855844207111,0.01768223260774207,-0.10067623322079777,0.0009546692982644327,true,-0.022178278204608458,0,0.18
2017,0.000769,-0.002773,Pittsburgh - PA,0.925905823707581,0.007080078125,2372210.0,0.0043081309420236686,0.0109068863093853,0.8558874163874985,-0.010093113690614702,0.010146644165155502,97500,2.581778561414538,0.0125386418998241,-0.012882687151432,-0.0029553213265391953,0.022001865808534502,0.003403618931770304,0.05469917125049012,0.002329113526269695,-0.05446369689889261,0.013535144487577339,-0.18127361122448615,0.0006603704363685915,false,-0.00804093898577415,0,0.13
2018,-0.000395,-0.001164,Pittsburgh - PA,0.93784761428833,0.011941790580748957,2371867.0,0.0000923076923076923,0.0365386418998241,0.8689953151875799,0.0125386418998241,0.013261538461538462,98678,2.518236510915559,0.013756460666656502,0.003403618931770304,-0.024611735277623704,0.012082051282051282,-0.004044733941555002,0.05918859294508724,-0.04307746086455888,-0.07117632054723809,-0.012456907291553312,-0.014459090889928916,0.000994871794871795,false,0.07071881939810251,0,0.12
