msa,year,pop,RDI,RDI_growth,real_rent_growth,real_relative_rent_growth,real_rent_growth_next_year,real_relative_rg_next_year,spread
Santa Rosa - CA,2014,498074.5,2.5524692899231,-0.006850862407957393,0.0410036508142948,0.0383683843538165,0.0718538259863853,0.04164943657815456,0.0452192467617739
Santa Rosa - CA,2015,500027.09375,2.703257514848147,0.05907543159102606,0.0718538259863853,0.04164943657815456,0.030157216161489503,0.016920128837227853,-0.017425995012871502
Santa Rosa - CA,2016,501196.1875,2.637314963685757,-0.024393736371835954,0.030157216161489503,0.016920128837227853,0.035282602250576,0.02989514172077175,0.041313865209063806
Santa Rosa - CA,2017,499565.40625,2.721101967409668,0.03176981319167704,0.035282602250576,0.02989514172077175,-0.015248852573335171,-0.02377970051020387,-0.0018746714709052918
Santa Rosa - CA,2018,494401.875,2.6111519726890466,-0.04040642211775964,-0.015248852573335171,-0.02377970051020387,-0.004437553539872199,-0.02157917059957985,0.01662672160755577
Santa Rosa - CA,2019,490070.1875,2.5527755067519946,-0.022356594540506237,-0.004437553539872199,-0.02157917059957985,0.006740383908152601,-0.013307400047779049,0.0007774239409263882
Santa Rosa - CA,2020,487500.6875,2.3669012079554235,-0.07281263013725282,0.006740383908152601,-0.013307400047779049,0.024649409830570193,-0.011796768754720757,0.059505230089473775
Santa Rosa - CA,2021,484162.6875,2.5108731208488004,0.0608271745392123,0.024649409830570193,-0.011796768754720757,-0.0579768530279398,-0.026356186717748642,-0.07262394329393305
Santa Rosa - CA,2022,483302.625,2.365786173808745,-0.05778346418038387,-0.0579768530279398,-0.026356186717748642,-0.0232596032172441,-0.004961785860359648,0.031427277462635225
Sarasota - FL,2006,686744.0625,2.21165406502979,0.004810232524733851,0.026140303939580896,0.018945615738630295,-0.007416165336966502,-0.0071799773722887004,0.014135383213896444
Sarasota - FL,2007,692782.6875,2.367267785861903,0.0703607871107172,-0.007416165336966502,-0.0071799773722887004,-0.0503403947800398,-0.020716067869216218,-0.0775407644830059
Sarasota - FL,2008,696480.75,2.4019373970345965,0.014645411634354023,-0.0503403947800398,-0.020716067869216218,-0.039012537062168104,-0.012445835396647453,-0.03536147950357024
Sarasota - FL,2009,699263.4375,2.4809906904159718,0.03291230382564237,-0.039012537062168104,-0.012445835396647453,-0.001822425223887,0.007515953853726354,-0.045358139222289824
Sarasota - FL,2010,704182.9375,2.652479394676395,0.06912105914902526,-0.001822425223887,0.007515953853726354,-0.0186324244067073,0.0024665179662405994,-0.06160510529529891
Sarasota - FL,2011,709920.25,2.4011421319796953,-0.09475559478469134,-0.0186324244067073,0.0024665179662405994,0.0008724031001328993,0.006042264401912601,0.09722211275093194
Sarasota - FL,2012,719144.3125,2.5618135571366616,0.06691458327978937,0.0008724031001328993,0.006042264401912601,0.014884941875934601,0.009179832413792652,-0.06087231887787677
Sarasota - FL,2013,729906.9375,2.667939623188756,0.04142614740891281,0.014884941875934601,0.009179832413792652,0.0208119664490223,0.018176699988544,-0.03224631499512016
Sarasota - FL,2014,744946.6875,2.457847352290141,-0.07874701101650494,0.0208119664490223,0.018176699988544,0.0407887456715107,0.010584356263279956,0.09692371100504894
Sarasota - FL,2015,763556.375,2.6694290480546736,0.08608414821505803,0.0407887456715107,0.010584356263279956,0.0018302847519517003,-0.01140680257230995,-0.07549979195177807
Sarasota - FL,2016,781765.375,2.6741964232665913,0.0017859156868739077,0.0018302847519517003,-0.01140680257230995,0.0068365537524223,0.001449093222618051,-0.013192718259183858
Sarasota - FL,2017,796292.4375,2.5896781696492144,-0.0316051030814468,0.0068365537524223,0.001449093222618051,0.010307155758142499,0.0017763078212738002,0.03305419630406485
Sarasota - FL,2018,810338.375,2.6702221802692594,0.031101938288708334,0.010307155758142499,0.0017763078212738002,0.0089505232572556,-0.00819109380245205,-0.029325630467434534
Sarasota - FL,2019,825770.625,2.6602814448698413,-0.0037228120839052,0.0089505232572556,-0.00819109380245205,0.0047246628552675,-0.01532312110066415,-0.00446828171854685
Sarasota - FL,2020,844032.25,2.4158195316961737,-0.09189325198846708,0.0047246628552675,-0.01532312110066415,0.19524738776683798,0.15880120918154703,0.07657013088780293
Sarasota - FL,2021,870399.75,2.340124702619206,-0.031332981658535444,0.19524738776683798,0.15880120918154703,-0.0547410509735346,-0.023120384663343443,0.19013419084008248
Sarasota - FL,2022,900046.375,2.288671609546317,-0.021987329570641933,-0.0547410509735346,-0.023120384663343443,-0.072098073348403,-0.053800255991518546,-0.0011330550927015105
Scranton - PA,2006,558196.0,1.9985087198464533,0.012128329719872313,-0.0016486014872789008,-0.008843289688229502,0.0013369648754596973,0.001573152840137499,-0.020971619408101813
Scranton - PA,2007,560407.3125,2.0948871310052093,0.04822516419451041,0.0013369648754596973,0.001573152840137499,-0.03175661183148623,-0.0021322849206626485,-0.04665201135437291
Scranton - PA,2008,561918.0625,2.081583623213794,-0.006350465184743226,-0.03175661183148623,-0.0021322849206626485,-0.020776604026556,0.0057900976389646495,0.004218180264080578
Scranton - PA,2009,563274.625,2.0393175074183976,-0.020304788779103244,-0.020776604026556,0.0057900976389646495,-0.0011407967507838998,0.008197582326829454,0.026094886418067894
Scranton - PA,2010,564540.5,2.170510885966803,0.06433200228564961,-0.0011407967507838998,0.008197582326829454,-0.018932459287345403,0.0021664830856024976,-0.05613441995882016
Scranton - PA,2011,565941.3125,2.166207124738061,-0.001982833284351383,-0.018932459287345403,0.0021664830856024976,-0.006476604662835601,-0.0013067433610558996,0.00414931636995388
Scranton - PA,2012,566960.5625,2.10629160702125,-0.027659182278821273,-0.006476604662835601,-0.0013067433610558996,0.009372186511755,0.003667077049613051,0.026352438917765373
Scranton - PA,2013,566364.0625,2.2524440312959952,0.06938850432084112,0.009372186511755,0.003667077049613051,0.0027514964491128988,0.00011622998863459848,-0.06572142727122807
Scranton - PA,2014,566292.5,2.262180263051723,0.004322518837516119,0.0027514964491128988,0.00011622998863459848,0.035845572292804696,0.00564118288457395,-0.0042062888488815205
Scranton - PA,2015,565385.0,2.323013032092108,0.02689121200196514,0.035845572292804696,0.00564118288457395,0.0155377278923988,0.00230064056813715,-0.02125002911739119
Scranton - PA,2016,565304.0625,2.199845162058749,-0.05302074001816255,0.0155377278923988,0.00230064056813715,0.0199471988677979,0.01455973833799365,0.0553213805862997
Scranton - PA,2017,566719.8125,2.2688199790690007,0.03135439630019275,0.0199471988677979,0.01455973833799365,-0.0015187149643898015,-0.0100495629012585,-0.016794657962199103
Scranton - PA,2018,567353.8125,2.2072859194316377,-0.027121613968955453,-0.0015187149643898015,-0.0100495629012585,-0.0010117840319871993,-0.01815340109169485,0.017072051067696953
Scranton - PA,2019,567434.0625,2.1754812505363117,-0.014408948390118605,-0.0010117840319871993,-0.01815340109169485,0.061388993740081804,0.04134120978415015,-0.003744452701576244
Scranton - PA,2020,567122.9375,2.2014392895421833,0.01193209042802472,0.061388993740081804,0.04134120978415015,0.0484049378633499,0.01195875927805895,0.029409119356125432
Scranton - PA,2021,568172.3125,2.1270624103299856,-0.0337855690890596,0.0484049378633499,0.01195875927805895,-0.0614110584557056,-0.029790392145514447,0.04574432836711855
Scranton - PA,2022,569251.5,2.1479980966623615,0.009842535052428516,-0.0614110584557056,-0.029790392145514447,0.0110599037408829,0.029357721097767353,-0.039632927197942966
Seattle - WA,2006,3268743.0,2.1735361892685474,0.012343295728766314,0.0279147044122219,0.0207200162112713,0.03847687608003621,0.03871306404471401,0.008376720482504986
Seattle - WA,2007,3317089.0,2.1890530593254525,0.007138997792407078,0.03847687608003621,0.03871306404471401,-0.011796354606747599,0.017827972304075984,0.03157406625230693
Seattle - WA,2008,3370124.0,2.188785358142786,-0.0001222908606651609,-0.011796354606747599,0.017827972304075984,-0.0795714563727379,-0.053004754707217244,0.017950263164741145
Seattle - WA,2009,3423713.0,2.2437944516921933,0.02513224667953891,-0.0795714563727379,-0.053004754707217244,0.0101062886565924,0.019444667734205754,-0.07813700138675615
Seattle - WA,2010,3463686.0,2.253455230914232,0.004305554465897196,0.0101062886565924,0.019444667734205754,-0.010366388007998502,0.010732554364949399,0.015139113268308559
Seattle - WA,2011,3519204.0,2.313404982668739,0.02660348026092596,-0.010366388007998502,0.010732554364949399,0.007565367683768299,0.012735228985548,-0.01587092589597656
Seattle - WA,2012,3575419.0,2.3160072365738023,0.0011248587794002395,0.007565367683768299,0.012735228985548,0.0192034548521042,0.013498345389962252,0.01161037020614776
Seattle - WA,2013,3631917.0,2.381099759986315,0.02810549223879274,0.0192034548521042,0.013498345389962252,0.012926411643624298,0.010291145183145998,-0.014607146848830486
Seattle - WA,2014,3696714.0,2.346784683282594,-0.014411440159028972,0.012926411643624298,0.010291145183145998,0.062517726957798,0.03231333754956726,0.024702585342174968
Seattle - WA,2015,3765469.0,2.3582307586372804,0.004877343642227968,0.062517726957798,0.03231333754956726,0.030733868747949603,0.017496781423687952,0.02743599390733929
Seattle - WA,2016,3842287.0,2.317029464518791,-0.01747127331266666,0.030733868747949603,0.017496781423687952,0.005205997914075899,-0.00018146261572835054,0.034968054736354615
Seattle - WA,2017,3906911.0,2.3026207501349165,-0.006218615086479771,0.005205997914075899,-0.00018146261572835054,0.008218851149082197,-0.0003119967877865011,0.00603715247075142
Seattle - WA,2018,3954196.0,2.3200565361839702,0.007572148408734746,0.008218851149082197,-0.0003119967877865011,0.0297545671164989,0.01261295005679125,-0.007884145196521246
Seattle - WA,2019,3996570.0,2.2545075383242863,-0.028253189884544342,0.0297545671164989,0.01261295005679125,-0.032613824948668504,-0.05266160890460016,0.04086613994133559
Seattle - WA,2020,4025161.0,2.180315761375974,-0.03290819644074332,-0.032613824948668504,-0.05266160890460016,0.053791238248348,0.01734505966305705,-0.01975341246385684
Seattle - WA,2021,4022038.0,2.1932615512903086,0.005937575714338112,0.053791238248348,0.01734505966305705,-0.054269853904843304,-0.022649187594652148,0.011407483948718938
Seattle - WA,2022,4049034.0,2.1405678560838193,-0.024025267381124406,-0.054269853904843304,-0.022649187594652148,-0.0283008728027344,-0.010003055445849948,0.0013760797864722576
Shreveport - LA,2006,430988.71875,2.4764160776213306,-0.040585318221015174,0.0292070001661777,0.0220123119652271,-0.0019795288294554014,-0.0017433408647775997,0.06259763018624227
Shreveport - LA,2007,432020.90625,2.46794460717195,-0.003420859089849534,-0.0019795288294554014,-0.0017433408647775997,-0.0517984314933419,-0.02217410458251832,0.0016775182250719344
Shreveport - LA,2008,434217.71875,2.4432929421768708,-0.009988743233312716,-0.0517984314933419,-0.02217410458251832,-0.027900513917207697,-0.0013338122516870464,-0.012185361349205602
Shreveport - LA,2009,437294.71875,2.249827204865911,-0.07918237472523038,-0.027900513917207697,-0.0013338122516870464,-0.008315335664898161,0.0010230434127151931,0.07784856247354333
Shreveport - LA,2010,442143.0,2.522078804347826,0.1210100041874732,-0.008315335664898161,0.0010230434127151931,-0.0214213937222958,-0.0003224513493478992,-0.119986960774758
Shreveport - LA,2011,445844.09375,2.537142857142857,0.0059728715728714545,-0.0214213937222958,-0.0003224513493478992,-0.0125652135387063,-0.007395352236926599,-0.006295322922219354
Shreveport - LA,2012,447894.40625,2.54508012953583,0.003128429434167345,-0.0125652135387063,-0.007395352236926599,-0.00041324865072969903,-0.006118358112871649,-0.010523781671093944
Shreveport - LA,2013,446147.71875,2.583359388570436,0.015040492670691387,-0.00041324865072969903,-0.006118358112871649,-0.01157661451399326,-0.01421188097447156,-0.021158850783563034
Shreveport - LA,2014,444382.59375,2.626739105902078,0.016791979282312373,-0.01157661451399326,-0.01421188097447156,0.00894398351758718,-0.021260405890643565,-0.031003860256783936
Shreveport - LA,2015,443112.90625,2.5067228226319136,-0.04569021833972666,0.00894398351758718,-0.021260405890643565,-0.005124027572572229,-0.01836111489683388,0.024429812449083096
Shreveport - LA,2016,440690.5,2.4731330472103004,-0.01339987617232683,-0.005124027572572229,-0.01836111489683388,-0.0030732083171606007,-0.00846066884696485,-0.00496123872450705
Shreveport - LA,2017,438111.59375,2.5034807120275344,0.012270939022656418,-0.0030732083171606007,-0.00846066884696485,-0.0013124195635319004,-0.009843267500400599,-0.02073160786962127
Shreveport - LA,2018,434805.5,2.4202459791863764,-0.0332476030037984,-0.0013124195635319004,-0.009843267500400599,-0.0005220517814158998,-0.01766366884112355,0.0234043355033978
Shreveport - LA,2019,431829.71875,2.3981660488462424,-0.009123010855101884,-0.0005220517814158998,-0.01766366884112355,0.036044767230749106,0.015996983274817456,-0.008540657986021665
Shreveport - LA,2020,428277.0,2.3478824616282274,-0.020967516924946205,0.036044767230749106,0.015996983274817456,0.033935746431350694,-0.0025104321539402563,0.03696450019976366
Shreveport - LA,2021,423844.90625,2.362057898453046,0.006037541084994466,0.033935746431350694,-0.0025104321539402563,-0.0394735726714134,-0.007852906361222246,-0.008547973238934723
Shreveport - LA,2022,420498.40625,2.24556706319941,-0.04931751898627368,-0.0394735726714134,-0.007852906361222246,-0.013442023456096602,0.004855793900787851,0.04146461262505143
Spartanburg - SC,2006,299411.40625,2.2610379550735864,-0.07773335089122817,0.0345796995162964,0.0273850113153458,-0.001945470362901703,-0.0017092823982239012,0.10511836220657397
Spartanburg - SC,2007,304665.5,2.3089949822904368,0.0212101823011147,-0.001945470362901703,-0.0017092823982239012,-0.0593509295135736,-0.029726602602750014,-0.0229194646993386
Spartanburg - SC,2008,309755.625,2.4797963542733417,0.07397217113632544,-0.0593509295135736,-0.029726602602750014,-0.0271875939369202,-0.00062089227139955,-0.10369877373907546
Spartanburg - SC,2009,312788.90625,2.5450988328948254,0.026333807011592058,-0.0271875939369202,-0.00062089227139955,-0.00797879061102867,0.0013595884665846842,-0.026954699282991608
Spartanburg - SC,2010,314156.0,2.5816326530612246,0.014354578177557517,-0.00797879061102867,0.0013595884665846842,-0.0180715195536613,0.003027422819286602,-0.012994989710972833
Spartanburg - SC,2011,315734.1875,2.5144094370613708,-0.026039032284528352,-0.0180715195536613,0.003027422819286602,-0.0009248073250055014,0.0042450539767742,0.029066455103814955
Spartanburg - SC,2012,317859.09375,2.622451555007151,0.04296918248606756,-0.0009248073250055014,0.0042450539767742,0.015108476057648701,0.009403366595506751,-0.03872412850929336
Spartanburg - SC,2013,320329.1875,2.7392224509320733,0.04452737962002262,0.015108476057648701,0.009403366595506751,0.007294517770409601,0.004659251309931301,-0.03512401302451587
Spartanburg - SC,2014,323447.8125,2.5023576451123675,-0.0864715480625197,0.007294517770409601,0.004659251309931301,0.019989574491977698,-0.010214814916253048,0.09113079937245101
Spartanburg - SC,2015,327374.78125,2.4528804815133274,-0.019772219089337382,0.019989574491977698,-0.010214814916253048,0.023865200847387302,0.010628113523125652,0.009557404173084334
Spartanburg - SC,2016,332321.28125,2.4445620294500046,-0.0033912993829159897,0.023865200847387302,0.010628113523125652,-0.0005539174228907026,-0.005941377952694952,0.014019412906041641
Spartanburg - SC,2017,338798.625,2.4332040985876486,-0.004646202765781858,-0.0005539174228907026,-0.005941377952694952,0.006914114788174601,-0.0016167331486940974,-0.0012951751869130935
Spartanburg - SC,2018,346094.5,2.4986699345428462,0.02690519714034561,0.006914114788174601,-0.0016167331486940974,0.023508816182613402,0.006367199122905752,-0.028521930289039706
Spartanburg - SC,2019,352128.125,2.3934054642166345,-0.04212820143668589,0.023508816182613402,0.006367199122905752,0.0005443264842033002,-0.01950345747172835,0.048495400559591645
Spartanburg - SC,2020,358049.0,2.4166860397535745,0.009726966819873893,0.0005443264842033002,-0.01950345747172835,0.022900646805763203,-0.013545531779527747,-0.02923042429160224
Spartanburg - SC,2021,365089.375,2.299957637375938,-0.04830102067769602,0.022900646805763203,-0.013545531779527747,-0.026736510843038602,0.004884155467152554,0.03475548889816827
Spartanburg - SC,2022,376223.6875,2.365174527045031,0.028355691691565287,-0.026736510843038602,0.004884155467152554,-0.04012106076953933,-0.021823243412654875,-0.023471536224412733
Spokane - WA,2006,504903.8125,2.0762478259442787,0.015502843060677495,0.028911312699317897,0.021716624498367296,0.0237564249932766,0.023992612957954403,0.006213781437689801
Spokane - WA,2007,513685.90625,2.1613770844540077,0.04100149194425388,0.0237564249932766,0.023992612957954403,-0.02944069291651249,0.00018363399431109428,-0.017008878986299474
Spokane - WA,2008,520213.0625,2.145805978808513,-0.007204252213781587,-0.02944069291651249,0.00018363399431109428,-0.0659942484498024,-0.039427546784281745,0.007387886208092681
Spokane - WA,2009,525860.125,2.173426098761242,0.012871676295759634,-0.0659942484498024,-0.039427546784281745,-0.00637070292979479,0.0029676761478185636,-0.05229922308004138
