year,msa,exog_shock
2017,Columbia - SC,0
2018,Columbia - SC,0
2019,Columbia - SC,0
2020,Columbia - SC,0
2021,Columbia - SC,0
2022,Columbia - SC,0
2023,Columbia - SC,0
2024,Columbia - SC,0
2000,Columbus - OH,0
2001,Columbus - OH,0
2002,Columbus - OH,0
2003,Columbus - OH,0
2004,Columbus - OH,0
2005,Columbus - OH,0
2006,Columbus - OH,0
2007,Columbus - OH,0
2008,Columbus - OH,0
2009,Columbus - OH,0
2010,Columbus - OH,0
2011,Columbus - OH,0
2012,Columbus - OH,0
2013,Columbus - OH,0
2014,Columbus - OH,0
2015,Columbus - OH,0
2016,Columbus - OH,0
2017,Columbus - OH,0
2018,Columbus - OH,0
2019,Columbus - OH,0
2020,Columbus - OH,0
2021,Columbus - OH,0
2022,Columbus - OH,0
2023,Columbus - OH,0
2024,Columbus - OH,0
2000,Corpus Christi - TX,0
2001,Corpus Christi - TX,0
2002,Corpus Christi - TX,0
2003,Corpus Christi - TX,0
2004,Corpus Christi - TX,0
2005,Corpus Christi - TX,0
2006,Corpus Christi - TX,0
2007,Corpus Christi - TX,0
2008,Corpus Christi - TX,0
2009,Corpus Christi - TX,0
2010,Corpus Christi - TX,0
2011,Corpus Christi - TX,0
2012,Corpus Christi - TX,0
2013,Corpus Christi - TX,0
2014,Corpus Christi - TX,0
2015,Corpus Christi - TX,0
2016,Corpus Christi - TX,0
2017,Corpus Christi - TX,0
2018,Corpus Christi - TX,0
2019,Corpus Christi - TX,0
2020,Corpus Christi - TX,0
2021,Corpus Christi - TX,0
2022,Corpus Christi - TX,0
2023,Corpus Christi - TX,0
2024,Corpus Christi - TX,0
2000,Dallas-Fort Worth - TX,0
2001,Dallas-Fort Worth - TX,0
2002,Dallas-Fort Worth - TX,0
2003,Dallas-Fort Worth - TX,0
2004,Dallas-Fort Worth - TX,0
2005,Dallas-Fort Worth - TX,0
2006,Dallas-Fort Worth - TX,0
2007,Dallas-Fort Worth - TX,0
2008,Dallas-Fort Worth - TX,0
2009,Dallas-Fort Worth - TX,0
2010,Dallas-Fort Worth - TX,0
2011,Dallas-Fort Worth - TX,0
2012,Dallas-Fort Worth - TX,0
2013,Dallas-Fort Worth - TX,0
2014,Dallas-Fort Worth - TX,0
2015,Dallas-Fort Worth - TX,0
2016,Dallas-Fort Worth - TX,0
2017,Dallas-Fort Worth - TX,0
2018,Dallas-Fort Worth - TX,0
2019,Dallas-Fort Worth - TX,0
2020,Dallas-Fort Worth - TX,0
2021,Dallas-Fort Worth - TX,0
2022,Dallas-Fort Worth - TX,0
2023,Dallas-Fort Worth - TX,0
2024,Dallas-Fort Worth - TX,0
2000,Dayton - OH,0
2001,Dayton - OH,0
2002,Dayton - OH,0
2003,Dayton - OH,0
2004,Dayton - OH,0
2005,Dayton - OH,0
2006,Dayton - OH,0
2007,Dayton - OH,0
2008,Dayton - OH,0
2009,Dayton - OH,0
2010,Dayton - OH,0
2011,Dayton - OH,0
2012,Dayton - OH,0
2013,Dayton - OH,0
2014,Dayton - OH,0
2015,Dayton - OH,0
2016,Dayton - OH,0
2017,Dayton - OH,0
2018,Dayton - OH,0
2019,Dayton - OH,0
2020,Dayton - OH,0
2021,Dayton - OH,0
2022,Dayton - OH,0
2023,Dayton - OH,0
2024,Dayton - OH,0
2000,Denver - CO,0
2001,Denver - CO,0
2002,Denver - CO,0
2003,Denver - CO,0
2004,Denver - CO,0
2005,Denver - CO,0
2006,Denver - CO,0
2007,Denver - CO,0
2008,Denver - CO,0
2009,Denver - CO,0
2010,Denver - CO,0
2011,Denver - CO,0
2012,Denver - CO,0
2013,Denver - CO,0
2014,Denver - CO,0
2015,Denver - CO,0
2016,Denver - CO,0
2017,Denver - CO,0
2018,Denver - CO,0
2019,Denver - CO,0
2020,Denver - CO,0
2021,Denver - CO,0
2022,Denver - CO,0
2023,Denver - CO,0
2024,Denver - CO,0
2000,Des Moines - IA,0
2001,Des Moines - IA,0
2002,Des Moines - IA,0
2003,Des Moines - IA,0
2004,Des Moines - IA,0
2005,Des Moines - IA,0
2006,Des Moines - IA,0
2007,Des Moines - IA,0
2008,Des Moines - IA,0
2009,Des Moines - IA,0
2010,Des Moines - IA,0
2011,Des Moines - IA,0
2012,Des Moines - IA,0
2013,Des Moines - IA,0
2014,Des Moines - IA,0
2015,Des Moines - IA,0
2016,Des Moines - IA,0
2017,Des Moines - IA,0
2018,Des Moines - IA,0
2019,Des Moines - IA,0
2020,Des Moines - IA,0
2021,Des Moines - IA,0
2022,Des Moines - IA,0
2023,Des Moines - IA,0
2024,Des Moines - IA,0
2000,Detroit - MI,0
2001,Detroit - MI,0
2002,Detroit - MI,0
2003,Detroit - MI,0
2004,Detroit - MI,0
2005,Detroit - MI,0
2006,Detroit - MI,0
2007,Detroit - MI,0
2008,Detroit - MI,0
2009,Detroit - MI,0
2010,Detroit - MI,0
2011,Detroit - MI,0
2012,Detroit - MI,0
2013,Detroit - MI,0
2014,Detroit - MI,0
2015,Detroit - MI,0
2016,Detroit - MI,0
2017,Detroit - MI,0
