,msa,year,quantity,price,pers_disinflation,rentpsf,implied_demand,supply_growth,rent_growth_next_year,relative_rg_next_year,hist_supply_growth_mean,hist_implied_demand_mean,group_P,group_Q,group
1151,San Antonio - TX,2014,0.023252135841117204,0.8014808733205587,8,0.7806176019295427,-0.021354208580692827,0.04284169863808356,0.035042202,0.0018538815000000014,0.02538752209647378,-0.0025317586586194917,underPriced,overSupplied,underPriced-overSupplied
1152,San Antonio - TX,2015,0.06192851259388407,0.8169511650847285,7,0.8079400259371025,-0.02137955111560212,0.04228476800262937,0.0003784490000000012,-0.0112999705,0.02729384455576016,-0.004520156856570232,underPriced,underSupplied,underPriced-underSupplied
1153,San Antonio - TX,2016,0.04410025880020374,0.8031321563138377,6,0.8114424055508047,-0.016029689942440816,0.03482991381976748,-0.011941374000000001,-0.0116285125,0.028250141501931218,-0.0057690624517085735,overPriced,underSupplied,overPriced-underSupplied
1154,San Antonio - TX,2017,0.017500197994965105,0.7884147420799685,5,0.8015453582041653,-0.01876021315558043,0.03639453788899959,0.004995454,-0.0019466459999999998,0.028756055657707762,-0.007476430725501688,overPriced,overSupplied,overPriced-overSupplied
1155,San Antonio - TX,2018,0.01144384148240919,0.7838635690441342,5,0.8092933469685858,-0.01721199247446836,0.03259443564804343,0.016640595000000005,-0.0003506004999999958,0.029142831937682696,-0.00885610838435151,overPriced,overSupplied,overPriced-overSupplied
1156,San Antonio - TX,2019,0.008650026214550839,0.7790014509860489,4,0.8210486788466763,-0.01331769793784507,0.02772118902105102,-0.0030606929999999997,-0.018745622,0.030235092839948335,-0.010791383407203781,overPriced,overSupplied,overPriced-overSupplied
1157,San Antonio - TX,2020,0.00636560737318389,0.782204550411567,3,0.8177519152199627,-0.027340977805208652,0.043556104995044385,0.073051995,0.024137548999999994,0.029881797010799294,-0.011206885134669064,overPriced,overSupplied,overPriced-overSupplied
1158,San Antonio - TX,2021,0.004730223733968359,0.7747236350385406,3,0.8732920602639315,-0.0069551460286699385,0.02246732026143791,-0.05468110700000001,-0.018107144000000006,0.03313566230586243,-0.014961173618203389,overPriced,overSupplied,overPriced-overSupplied
1159,San Antonio - TX,2022,0.01762869705207958,0.828210583867998,2,0.8313813301938836,-0.012184423891449064,0.032311226528166204,-0.061463191,-0.0368631475,0.03393765916476203,-0.016060571392960056,overPriced,overSupplied,overPriced-overSupplied
1162,San Diego - CA,2011,0.004395598659785975,1.3556758752625961,7,1.2883981769162938,0.0016005760402321477,0.008861829866396076,0.003888906999999997,0.009300122499999999,0.006683811336171368,0.0025396787360130236,underPriced,overSupplied,underPriced-overSupplied
1163,San Diego - CA,2012,0.001536049614652264,1.3530286160598224,8,1.2909074689627045,0.004663792824272519,0.006495792402856472,0.01878899,0.010734450499999998,0.006595246482891956,0.0023094803114244587,underPriced,overSupplied,underPriced-overSupplied
1164,San Diego - CA,2013,0.011313080797231135,1.3279458945633913,7,1.3147006934695171,0.005128907641849854,0.005221388539593448,0.018377072,0.0160775885,0.0060208108649350825,0.003048946630000619,underPriced,underSupplied,underPriced-underSupplied
1165,San Diego - CA,2014,0.013073539505272269,1.3203580315885703,6,1.3361922915911089,-0.00554763303695833,0.01612128241239334,0.060805401,0.027617080500000002,0.00585500206658211,0.0037428661020270483,overPriced,overSupplied,overPriced-overSupplied
1166,San Diego - CA,2015,-0.035123264034859054,1.402877310276788,5,1.419164219472128,-0.00698188139331498,0.014895316984085572,0.025740885000000005,0.014062465500000005,0.006514711717875191,0.003688080817421567,overPriced,overSupplied,overPriced-overSupplied
1167,San Diego - CA,2016,0.004900175940684975,1.3387638406817672,5,1.45643508688606,-0.0019160934680045056,0.007294168681667376,0.014312556,0.014625417500000001,0.007379202638571214,0.003327773613465264,overPriced,overSupplied,overPriced-overSupplied
1168,San Diego - CA,2017,0.0050542530870442085,1.3403545246070532,5,1.4808210854958308,-0.009841619013170353,0.01267634838226029,0.009457845,0.002515745,0.007746385238857498,0.0030225885633928334,overPriced,overSupplied,overPriced-overSupplied
1169,San Diego - CA,2018,0.004913472079490173,1.3346290221698627,4,1.4925492054748508,-0.016367167784290065,0.018097266903185923,0.020523491,0.003532295500000001,0.008472199076135986,0.001460373522068083,overPriced,overSupplied,overPriced-overSupplied
1170,San Diego - CA,2019,0.0046856288699297635,1.3254271974703828,3,1.5248046892866844,-0.018469266088525643,0.017183831804979174,0.008568383999999998,-0.007116545000000002,0.009785005813404945,-0.0011605962409448958,overPriced,overSupplied,overPriced-overSupplied
1171,San Diego - CA,2020,0.004466038549471097,1.3244460489009187,2,1.5389189585635519,-0.011281522321091789,0.008425855513307984,0.08034246299999999,0.03142801699999999,0.010767236085523425,-0.003583408674457521,overPriced,overSupplied,overPriced-overSupplied
1172,San Diego - CA,2021,0.0022744437222065148,1.330351576591836,1,1.6604849033187432,-0.022671876880381896,0.018328456805019305,-0.027083738000000003,0.009490224999999998,0.011527308149072565,-0.005901190659900115,overPriced,overSupplied,overPriced-overSupplied
1173,San Diego - CA,2022,0.0025484477256723244,1.33183851003457,0,1.6172075190072803,-0.01516185494573642,0.01564368680043099,-0.029232949,-0.004632905499999999,0.012473970842934888,-0.008328435951961519,overPriced,overSupplied,overPriced-overSupplied
1176,San Francisco - CA,2011,0.003623903309636794,2.3769012214980467,5,2.354658737122882,0.014315303389068917,-0.00016054972224898052,0.022007984999999997,0.027419200499999997,0.004634274203764435,-0.0016316671712282634,underPriced,underSupplied,underPriced-underSupplied
1177,San Francisco - CA,2012,0.003215874381585574,2.354750315301683,5,2.407759998289988,0.014622994934134473,0.0011497205986254738,0.025911805000000003,0.017857265500000004,0.003768766701341265,0.0008913024103483355,overPriced,underSupplied,overPriced-underSupplied
1178,San Francisco - CA,2013,0.003616167523553839,2.3412083739925427,4,2.465063800255345,-0.003721755101845311,0.017084859721945993,0.030158656,0.027859172499999998,0.003506938958606894,0.0037066465268097174,overPriced,overSupplied,overPriced-overSupplied
1179,San Francisco - CA,2014,0.0033128250926997664,2.351401329445437,3,2.538765354023107,-0.0013210904333510146,0.014457648928922867,0.054319607,0.0211312865,0.004378282377383825,0.004856210083487307,overPriced,overSupplied,overPriced-overSupplied
