rr_rent_growth_m2,rr_rent_growth_m1,rr_rent_growth_0,rr_rent_growth_p1,rr_rent_growth_p2,event,event_year,msa
0.009043483063578654,-0.010468736290931651,-0.01247691176831725,-0.004461107775569,-0.00755840912461285,decrease,2017,Chicago - IL
-0.010468736290931651,-0.01247691176831725,-0.004461107775569,-0.00755840912461285,-0.04368420783430335,decrease,2018,Chicago - IL
0.0028006276115774987,-0.0025028418749570465,0.011683294549584455,0.004611987620592048,0.011810075491666804,decrease,2016,Chico - CA
-0.0025028418749570465,0.011683294549584455,0.004611987620592048,0.011810075491666804,0.003344640135765055,decrease,2017,Chico - CA
0.011683294549584455,0.004611987620592048,0.011810075491666804,0.003344640135765055,-0.007326964288949949,decrease,2018,Chico - CA
-0.0049126874655486,-0.005805892869830048,-0.020352355204522603,-0.025338915642350877,-0.02127265697345136,decrease,2014,Clarksville - TN
-0.02127265697345136,0.01950253173708915,0.0060112103819847,0.010602075606584549,0.007459064945578547,decrease,2018,Clarksville - TN
0.00870632939040665,-0.00822704471647735,-0.040786229074001354,-0.013071820139884997,-0.01844045333564285,decrease,2017,College Station-Bryan - TX
0.035008868202567156,0.014898624271154348,0.012243781238794302,0.02426807954907415,0.007213225588202449,decrease,2018,Colorado Springs - CO
0.025964455679059056,0.005074458196759255,-0.004852503538131752,-0.004951454699039497,0.003353733569383649,decrease,2017,Dallas-Fort Worth - TX
0.0023513548076151986,0.007578944787383152,-0.0048927115276456,0.013167018070817056,-0.012051815167069449,decrease,2014,Daphne-Fairhope-Foley - AL
0.007578944787383152,-0.0048927115276456,0.013167018070817056,-0.012051815167069449,-0.02060231845825913,decrease,2015,Daphne-Fairhope-Foley - AL
0.013167018070817056,-0.012051815167069449,-0.02060231845825913,0.012654278427362404,0.008535917848348652,decrease,2017,Daphne-Fairhope-Foley - AL
-0.012051815167069449,-0.02060231845825913,0.012654278427362404,0.008535917848348652,0.020918922498822243,decrease,2018,Daphne-Fairhope-Foley - AL
0.0037493687123060504,0.010655933991074552,0.0016518626362085481,0.018289119005203202,-0.003297787159681348,decrease,2017,Daytona Beach - FL
-0.011882318183779647,-0.005975309759378449,0.02308802306652065,0.009243283420801104,0.006290603429079049,decrease,2017,Decatur - AL
-0.005975309759378449,0.02308802306652065,0.009243283420801104,0.006290603429079049,0.027402149513363856,decrease,2018,Decatur - AL
0.0230143954977393,0.021604945883154952,-0.00791611149907115,-0.0005588363856077506,0.004080940037965702,decrease,2016,Denver - CO
0.021604945883154952,-0.00791611149907115,-0.0005588363856077506,0.004080940037965702,-0.006614515557885149,decrease,2017,Denver - CO
-0.00791611149907115,-0.0005588363856077506,0.004080940037965702,-0.006614515557885149,-0.02912510093301533,decrease,2018,Denver - CO
