msa,rdi_positive_count,rent_growth_sum
Asheville - NC,0,-0.0003409150987864002
Asheville - NC,0,-0.0011351957917213802
Asheville - NC,0,0.00902631785720582
Asheville - NC,0,0.012696357630193158
Asheville - NC,0,0.00915913982316848
Athens - GA,1,-4.766411148012018e-05
Athens - GA,2,-0.005364564107731001
Athens - GA,2,-0.0033301417250186406
Athens - GA,3,0.00164261381141836
Athens - GA,4,0.00295299361459904
Athens - GA,4,0.0033941441215574
Athens - GA,4,0.008628357015550082
Athens - GA,3,0.0113122904673218
Athens - GA,2,0.014688291773199979
Athens - GA,2,0.018475693836808138
Athens - GA,3,0.01737432591617106
Athens - GA,3,0.01071419324725868
Athens - GA,4,0.01180531661957506
Athens - GA,4,0.009128757379949119
Atlanta - GA,2,-0.014651282364502518
Atlanta - GA,3,-0.009997389232739781
Atlanta - GA,3,-0.0052174957003444196
Atlanta - GA,2,0.0028734932187944803
Atlanta - GA,2,0.006996779749169961
Atlanta - GA,2,0.015049990732222778
Atlanta - GA,2,0.01710608247667548
Atlanta - GA,2,0.016154726780951
Atlanta - GA,2,0.01708049066364764
Atlanta - GA,3,0.015127177536487518
Atlanta - GA,3,0.01073073260486122
Atlanta - GA,3,0.02363776545971632
Atlanta - GA,2,0.0158373234793544
Atlanta - GA,2,0.0022364193573594206
Atlantic City - NJ,3,0.0014670760836452202
Atlantic City - NJ,3,0.0030171312857419203
Atlantic City - NJ,3,-0.00038647679612037987
Atlantic City - NJ,4,0.0009486664086580403
Atlantic City - NJ,4,-0.0022265776991843996
Atlantic City - NJ,4,-0.007549236761406039
Atlantic City - NJ,5,-0.01192679833620784
Atlantic City - NJ,5,-0.0098028677050024
Atlantic City - NJ,5,-0.00913856332190332
Atlantic City - NJ,5,-0.009390066983178241
Atlantic City - NJ,5,0.0037410746794194196
Atlantic City - NJ,5,0.01815013047307728
Atlantic City - NJ,4,0.02627994734793898
Atlantic City - NJ,3,0.02982309479266402
Augusta - GA,2,0.00013472870923582052
Augusta - GA,3,-0.00462442883290346
Augusta - GA,3,-0.00420704134739934
Augusta - GA,4,8.121035061776002e-05
Augusta - GA,3,0.0018778332974761398
Augusta - GA,3,-0.0017834470607340398
Augusta - GA,3,-0.0040846187621355196
Augusta - GA,2,-0.0023332647979259595
Augusta - GA,1,-0.00241575073450804
Augusta - GA,1,0.0003595439717173604
Augusta - GA,1,0.007765243388712401
Augusta - GA,0,0.01033288482576608
Augusta - GA,0,0.00550135243684054
Augusta - GA,0,0.0020412901416420994
Austin - TX,1,0.00150148845277726
Austin - TX,1,0.0037894702050835006
Austin - TX,2,0.0027249103877693597
Austin - TX,2,0.0061629935633391005
Austin - TX,3,0.01038128877989944
Austin - TX,3,0.012392581719905081
Austin - TX,3,0.00825916659086936
Austin - TX,3,0.003100713901221699
Austin - TX,3,0.00214321613311764
Austin - TX,2,0.0030353747308254
