,msa,year,quantity,price,real_rentpsf,RDI_growth,supply_growth,real_rent_growth_next_year,real_relative_rg_next_year,real_rent_growth,real_relative_rent_growth,rent_growth,overpriced,oversupplied,group
1263,Syracuse - NY,2014,0.0015019231800808498,0.7717105646789625,0.7313894648709228,-0.007581638055995664,0.007349182004089979,0.027811199999999998,-0.005377120500000002,-0.003700933,-0.006000416500000001,0.012299067,False,True,True-False
1264,Syracuse - NY,2015,0.0010936971167876009,0.7675036709769132,0.7517355023936519,0.0006438806456196598,-0.0026327475734314533,0.010626253,-0.0010521665,0.027811199999999998,-0.005377120500000002,0.0288112,False,False,False-False
1265,Syracuse - NY,2016,0.0007034091033367065,0.7615117493893,0.7628945693212695,-0.011457411909597419,0.008618770473555323,-0.011618233000000002,-0.011305371500000001,0.010626253,-0.0010521665,0.023626253,True,True,True-True
1266,Syracuse - NY,2017,0.0008231939190229602,0.7575343630850855,0.7539960572937487,-0.026099204950374225,0.024878602509932523,-1.2850000000001749e-05,-0.006954950000000001,-0.011618233000000002,-0.011305371500000001,0.009381767,False,True,True-False
1267,Syracuse - NY,2018,0.0010271100019027953,0.7496643422812314,0.7495913787495917,-0.005812441111817894,0.006307110112912654,0.010494176000000001,-0.0064970194999999994,-1.2850000000001749e-05,-0.006954950000000001,0.02398715,False,True,True-False
1268,Syracuse - NY,2019,-0.04387788122798871,0.7491955882538968,0.7624023446433422,-0.0019373295521263585,0.0008560596795890913,0.021296283000000003,0.005611354000000002,0.010494176000000001,-0.0064970194999999994,0.028494176,True,True,True-True
1269,Syracuse - NY,2020,0.012860821758844355,0.7468605371777102,0.7791179664694132,-0.02474344359392793,0.019611436950146627,0.008681597,-0.040232849,0.021296283000000003,0.005611354000000002,0.033296283,True,True,True-True
1270,Syracuse - NY,2021,-0.001876361824637055,0.7449013726882131,0.7871928430548115,-0.010291401152200497,0.0066810473964887054,-0.014804662999999996,0.021769300000000005,0.008681597,-0.040232849,0.055681597,True,True,True-True
1271,Syracuse - NY,2022,-0.0046204113188336475,0.7508281346406342,0.7744374034682752,-0.012195058371065591,0.009136632838308383,0.009985034999999996,0.0345850785,-0.014804662999999996,0.021769300000000005,0.065195337,True,True,True-True
1272,Syracuse - NY,2023,-0.0030161365203765726,0.7531124635237207,0.7822268512739684,-0.01055589778173509,0.007490857614722189,0.0007146129999999959,0.005441395999999998,0.009985034999999996,0.0345850785,0.050985035,True,True,True-True
1273,Syracuse - NY,2024,-0.0043384693436060605,0.7596736297846014,0.7897747658143688,-0.012996666588282415,0.009103682454188865,,,0.0007146129999999959,0.005441395999999998,0.032714613,True,True,True-True
1274,Tampa - FL,2011,0.011352558586006771,0.8771617551092262,0.8145045946022548,0.0037260664738388402,0.004190945352278367,-0.0018883200000000024,0.0035228954999999996,-0.020093172,0.00016472500000000098,0.011906828,False,False,False-False
1275,Tampa - FL,2012,0.013466767323317218,0.8793036826661106,0.8122563849652973,0.0008306681426778919,0.009109601996424497,0.009744105999999999,0.001689566499999998,-0.0018883200000000024,0.0035228954999999996,0.01911168,False,False,False-False
1276,Tampa - FL,2013,0.014797884591228305,0.8820347864539969,0.8216879334184481,0.0008525114342248358,0.011179906400783621,0.008776584,0.006477100499999999,0.009744105999999999,0.001689566499999998,0.024744106,False,False,False-False
1277,Tampa - FL,2014,0.013181418525598836,0.8671498735694287,0.8298457389881623,-0.0152530982457453,0.031099949173318982,0.058516518999999996,0.025328198499999996,0.008776584,0.006477100499999999,0.024776584,False,True,True-False
1278,Tampa - FL,2015,-0.024077738107183402,0.8320918175618385,0.8781956803664158,0.0032072021915082382,0.014672110232202093,0.019359976,0.007681556500000001,0.058516518999999996,0.025328198499999996,0.059516519,True,True,True-True
1279,Tampa - FL,2016,-0.11763517858630192,0.7860782500005501,0.8946672676585796,3.665450954390526e-05,0.01922659259513277,0.013762897,0.0140757585,0.019359976,0.007681556500000001,0.032359976,True,True,True-True
1280,Tampa - FL,2017,0.008696254727328899,0.8423769688204025,0.9102294745708318,-0.005129186772483667,0.0212975943475579,0.016594249999999998,0.009652149999999998,0.013762897,0.0140757585,0.034762897,True,True,True-True
1281,Tampa - FL,2018,0.01049639039329948,0.8424226974630892,0.9220637313822412,-0.027683785691823577,0.04146534305543354,0.022954857999999998,0.005963662499999998,0.016594249999999998,0.009652149999999998,0.04059425,True,True,True-True
