year,msa,RDI,RDI_trailing,real_relative_rent_growth,rrg_5yr_fwd,rrrg_5yr_fwd,RDI_move
2012,New York - NY,2.5,2.5,-0.0007867934182286991,0.03662346547096971,-0.017717911861836792,0.0
2011,New York - NY,2.5,2.5,0.00033904006704689807,0.04016038087755441,-0.006038815714418895,0.0
2010,New York - NY,2.5,2.5,0.026180331828072684,0.015002856925129905,0.0032409918494523023,0.0
2009,New York - NY,2.5,2.5,-0.05429300479590894,0.0029678415507078046,0.030929537257179583,0.0
2008,New York - NY,2.5,2.5,-0.020831414032727494,-0.08771895609796049,-0.031182535225525557,0.0
2007,New York - NY,2.5,2.5,0.051582030020654195,-0.1415658368468285,-0.049391840351745556,0.0
2006,New York - NY,2.5,2.5,0.030594266951084102,-0.0847661620602012,0.0029769830871373415,0.0
2018,New Haven - CT,2.0,2.0,-0.007458446547388996,-0.0183954715281724,-0.046494331210851614,0.0
2017,New Haven - CT,2.0,2.5,-0.004084981977939599,-0.006870294123887899,-0.06366310454905022,0.5
2016,New Haven - CT,2.5,2.0,-0.004813313484191898,0.033233863741159504,-0.05893073044717301,-0.5
2015,New Haven - CT,2.0,2.0,-0.013593625277280797,0.029530796676874204,-0.0321977417916058,0.0
2014,New Haven - CT,2.0,2.5,-0.01618234009947627,0.0294030714333057,-0.043739728629589,0.5
2013,New Haven - CT,2.5,2.5,-0.0016063414514064997,0.011216921568848131,-0.04613270738627756,0.0
2012,New Haven - CT,2.5,2.5,-0.00946547230705623,0.014060775042511431,-0.040280602290295064,0.0
2011,New Haven - CT,2.5,2.5,0.003595686983317199,0.0005381039725616005,-0.045661092619411696,0.0
2010,New Haven - CT,2.5,2.5,0.008001524256542285,-0.025490227076225003,-0.0372520921519026,0.0
2009,New Haven - CT,2.5,2.5,0.002298474311828551,-0.043618638324551304,-0.015656942618079518,0.0
2008,New Haven - CT,2.5,2.5,-0.001013033557683226,-0.05371254907920964,0.0028238717932253053,0.0
2007,New Haven - CT,2.5,2.5,0.001774662174284498,-0.08875681680813437,0.003417179686948579,0.0
2006,New Haven - CT,2.5,2.0,-0.005819696933031096,-0.07308583097904923,0.014657314168289307,-0.5
2018,Nashville - TN,2.5,2.5,0.0006309635937214036,0.003375250238925237,-0.02472360944375397,0.0
2017,Nashville - TN,2.5,2.5,-0.01637491956353184,0.07916889372840524,0.022376083303242936,0.0
2016,Nashville - TN,2.5,2.5,-0.005228847265243499,0.1060967147089541,0.013932120520621594,0.0
2015,Nashville - TN,2.5,2.5,0.016301576048135806,0.02240535429492599,-0.03932318417355401,0.0
2014,Nashville - TN,2.5,2.5,0.0059974975883961,0.08317924621701246,0.010036446154117765,0.0
2013,Nashville - TN,2.5,2.5,0.004245515912771201,0.05867589935660367,0.0013262704014779698,0.0
2012,Nashville - TN,2.5,2.5,0.006300097331404599,0.05928220005333426,0.004940822720527767,0.0
2011,Nashville - TN,2.5,2.5,-0.0014802622608840084,0.0738150362074375,0.027615839615464207,0.0
2010,Nashville - TN,2.5,2.5,0.012823944212868785,0.043126289695501294,0.031364424619823694,0.0
2009,Nashville - TN,2.5,2.5,0.004824308678507749,-0.00007490292191510844,0.027886792784556677,0.0
2008,Nashville - TN,2.5,2.5,0.0018968586809933047,-0.02982281699776661,0.026713603874668326,0.0
2007,Nashville - TN,2.5,2.5,0.0008387425914407002,-0.06780904985219251,0.02436494664289043,0.0
2006,Nashville - TN,2.5,2.5,-0.014817683026194597,-0.06883955324441202,0.01890359190292653,0.0
2018,Naples - FL,2.5,2.5,-0.019290118478238596,0.1841165262488646,0.15601766656618538,0.0
2017,Naples - FL,2.5,2.5,0.0034123621881009016,0.2533327850801868,0.19653997465502449,0.0
2016,Naples - FL,2.5,3.0,0.005196552723646204,0.2720518916351719,0.17988729744683937,0.5
2015,Naples - FL,3.0,3.0,0.0341091565787793,0.016610280017368497,-0.04511825845111149,0.0
2014,Naples - FL,3.0,2.5,0.015378367155790298,0.05948074201773859,-0.013662058045156095,-0.5
