CSA Name,Capital Pool,Investment,Property Name,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio, 
"Dallas-Fort Worth, TX-OK",BPY / CIC/BPY Retail,Core Retail,Stonebriar Centre,,,,,,,,,,,,,3.62%,2.39%,2.17%,
"Dallas-Fort Worth, TX-OK",BPY / CIC/BPY Retail,Core Retail,The Parks Mall at Arlington,,,,,,,,,,,,,3.39%,2.39%,1.04%,
"Dallas-Fort Worth, TX-OK",BPY / CIC/BPY Retail,Core Retail,Town East Mall,,,,,,,,,,,,,-0.62%,2.39%,0.67%,
"Dallas-Fort Worth, TX-OK",BSREP III,BSREP III US Logistics,2003 MacArthur Blvd,,,,-4.66%,1.88%,1.28%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP III,BSREP III US Logistics,625 Westport Parkway,,,,-49.19%,1.88%,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP III,BSREP III US Logistics,633 Westport Parkway,,,,-46.46%,1.88%,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP III / BSREP III Forest City Co-Invest,Forest City,The Continental,,,,,,,-5.35%,3.26%,0.37%,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP III / BSREP III Forest City Co-Invest,Forest City,The Merc,,,,,,,-2.14%,3.26%,0.37%,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP III / BSREP III Forest City Co-Invest,Forest City,The Wilson Building,,,,,,,-7.99%,3.26%,0.29%,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP IV,Watermark Lodging,Le Meridian Dallas,-0.47%,1.57%,1.64%,,,,,,,,,,,,,
"Denver-Aurora-Greeley, CO",BPREP US,National Logistics Portfolio,Easter Business Center,,,,5.05%,0.94%,0.31%,,,,,,,,,,
"Denver-Aurora-Greeley, CO",BPREP US,National Logistics Portfolio,Penhall Denver,,,,0.00%,,0.09%,,,,,,,,,,
"Denver-Aurora-Greeley, CO",BPREP US,Vernon Logistics Portfolio,4770 Joliet Street,,,,2.00%,0.94%,0.11%,,,,,,,,,,
"Denver-Aurora-Greeley, CO",BPY,BPY Office US,Republic Plaza,,,,,,,,,,23.56%,1.08%,0.01%,,,,
"Denver-Aurora-Greeley, CO",BPY / BWS / CIC/BPY Retail,Park Meadows,Park Meadows,,,,,,,,,,,,,4.42%,1.79%,3.08%,
"Denver-Aurora-Greeley, CO",BPY / CIC/BPY Retail,Core Retail,Southwest Plaza,,,,,,,,,,,,,-6.34%,1.79%,0.16%,
"Denver-Aurora-Greeley, CO",BSREP IV,Watermark Lodging,Embassy Suites Denver,8.02%,3.51%,3.01%,,,,,,,,,,,,,
"Des Moines-West Des Moines-Ames, IA",BPY / BWS / CIC/BPY Retail,Jordan Creek Town Center,Jordan Creek Town Center,,,,,,,,,,,,,2.42%,0.32%,1.03%,
"Greensboro--Winston-Salem--High Point, NC",BPY / CIC/BPY Retail,Core Retail,Four Seasons Town Centre,,,,,,,,,,,,,-1.56%,2.33%,0.27%,
"Greenville-Washington, NC",BPY / BSREP II,Rouse Properties,Greenville Mall,,,,,,,,,,,,,7.25%,2.18%,,
"Houston-Pasadena, TX",,,1600 Smith Street,,,,,,,,,,-112.93%,1.27%,,,,,
"Houston-Pasadena, TX",,,C. Baldwin,-6.95%,7.40%,2.27%,,,,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Beltway Distribution Center,,,,17.28%,1.42%,0.47%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Park 10 Business Center 1,,,,4.73%,1.42%,0.34%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Park 10 Business Center 2,,,,10.37%,1.42%,0.16%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Park 10 Business Center 3,,,,3.03%,1.42%,0.12%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Park 10 Business Center 4,,,,9.94%,1.42%,0.09%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Park 10 Business Center 5,,,,6.02%,1.42%,0.08%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,Vernon Logistics Portfolio,4420 Windfern Road,,,,2.00%,1.42%,0.09%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,Village on Memorial,Village on Memorial,,,,,,,0.42%,2.21%,0.91%,,,,,,,
"Houston-Pasadena, TX",BPY,BPY Office US,TotalEnergies Tower,,,,,,,,,,-9.66%,1.27%,0.07%,,,,
"Houston-Pasadena, TX",BPY / BWS / CIC/BPY Retail,The Woodlands Mall,The Woodlands Mall,,,,,,,,,,,,,1.13%,1.89%,1.86%,
"Houston-Pasadena, TX",BPY / CIC/BPY Retail,Core Retail,Baybrook Mall,,,,,,,,,,,,,2.03%,1.89%,1.56%,
"Houston-Pasadena, TX",BPY / CIC/BPY Retail,Core Retail,Deerbrook Mall,,,,,,,,,,,,,-0.10%,1.89%,0.77%,
"Houston-Pasadena, TX",BPY / CIC/BPY Retail,Core Retail,First Colony Mall,,,,,,,,,,,,,2.28%,1.89%,1.06%,
"Houston-Pasadena, TX",BPY / CIC/BPY Retail,Core Retail,Willowbrook Mall TX,,,,,,,,,,,,,1.26%,1.89%,1.06%,
"Houston-Pasadena, TX",BSREP III,BSREP III US Logistics,290 Eight Distribution Center,,,,3.00%,1.42%,0.93%,,,,,,,,,,
