CSA Name,Capital Pool,Investment,Property Name,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio, 
"Boston-Worcester-Providence, MA-RI-NH",BSREP III / BSREP III Forest City Co-Invest,Forest City,91 Sidney,,,,,,,1.52%,3.23%,0.73%,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III / BSREP III Forest City Co-Invest,Forest City,KBL,,,,,,,2.90%,3.23%,0.66%,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III / BSREP III Forest City Co-Invest,Forest City,Loft23,,,,,,,3.80%,3.23%,0.23%,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP IV,BSREP IV North American Logistics Portfolio,1 Industrial Drive,,,,2.85%,1.34%,0.12%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP IV,BSREP IV North American Logistics Portfolio,60 Olympia Ave,,,,16.60%,1.34%,0.68%,,,,,,,,,,
"Cape Coral-Fort Myers-Naples, FL",BPY / CIC/BPY Retail,Core Retail,Coastland Center,,,,,,,,,,,,,9.93%,1.75%,0.19%,
"Cedar Rapids-Iowa City, IA",BPY / CIC/BPY Retail,Core Retail,Coral Ridge Mall,,,,,,,,,,,,,4.10%,0.26%,0.27%,
"Champaign-Urbana-Danville, IL",BPY / CIC/BPY Retail / Future Fund SMA,Future Fund Retail Portfolio,Market Place Shopping Center,,,,,,,,,,,,,3.31%,37.06%,0.17%,
"Charlotte-Concord, NC-SC",BPREP US,National Logistics Portfolio,Nations Crossing,,,,18.73%,2.76%,0.38%,,,,,,,,,,
"Charlotte-Concord, NC-SC",BPREP US,National Logistics Portfolio,Nations West Distribution Center - Bldg 1,,,,-4.03%,2.76%,0.53%,,,,,,,,,,
"Charlotte-Concord, NC-SC",BPREP US,National Logistics Portfolio,Reames Road,,,,3.00%,2.76%,0.29%,,,,,,,,,,
"Charlotte-Concord, NC-SC",BPREP US,Vernon Logistics Portfolio,780 Celriver Road,,,,2.00%,2.76%,0.15%,,,,,,,,,,
"Charlotte-Concord, NC-SC",BPY / CIC/BPY Retail,Core Retail,Carolina Place,,,,,,,,,,,,,-11.44%,2.24%,0.41%,
"Charlotte-Concord, NC-SC",BSREP IV,Watermark Lodging,Marriott Charlotte,-9.64%,1.34%,3.21%,,,,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,2233 West St,,,,11.16%,1.45%,1.46%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,2601 Internationale Parkway,,,,2.55%,1.45%,0.70%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,4150 North Knox Ave,,,,2.50%,1.45%,0.30%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,700 Meridian Business Campus,,,,3.50%,1.45%,0.19%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,Glendale Heights Bus Ctr Bldg A,,,,31.56%,1.45%,0.33%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,Rock Run Inventory Facility IV,,,,-48.46%,1.45%,,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,Turnberry A,,,,10.25%,1.45%,0.28%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,Turnberry B,,,,29.82%,1.45%,0.25%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,Turnberry Lakes Business Center,,,,4.00%,1.45%,0.14%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,Vernon Logistics Portfolio,2765 Spectrum Drive,,,,2.00%,1.45%,0.16%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,Vernon Logistics Portfolio,5501 West Ogden Avenue,,,,2.00%,1.45%,0.11%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPY / CIC/BPY Retail,Core Retail,Northbrook Court,,,,,,,,,,,,,15.95%,13.61%,0.10%,
"Chicago-Naperville, IL-IN-WI",BPY / CIC/BPY Retail,Core Retail,Oakbrook Center,,,,,,,,,,,,,5.61%,13.61%,4.67%,
"Chicago-Naperville, IL-IN-WI",Brookfield US REIT (NTR),6123-6227 Monroe Ct,6123-6227 Monroe Court,,,,6.81%,1.45%,0.35%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BSREP III / BSREP III Forest City Co-Invest,Forest City,1251 S Michigan,,,,,,,3.15%,3.15%,0.11%,,,,,,,
"Chicago-Naperville, IL-IN-WI",BSREP III / BSREP III Forest City Co-Invest,Forest City,Sky55,,,,,,,2.13%,3.15%,1.71%,,,,,,,
"Chicago-Naperville, IL-IN-WI",BSREP III / BSREP III Forest City Co-Invest,Forest City,The Pavilion,,,,,,,2.16%,3.15%,1.88%,,,,,,,
"Chicago-Naperville, IL-IN-WI",BSREP IV,BSREP IV North American Logistics Portfolio,700 Chase Avenue,,,,-49.12%,1.45%,,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BSREP IV,Watermark Lodging,Renaissance Chicago,0.18%,4.77%,6.01%,,,,,,,,,,,,,
"Cincinnati-Wilmington, OH-KY-IN",BPY / CIC/BPY Retail,Core Retail,Kenwood Towne Centre,,,,,,,,,,,,,1.03%,1.74%,1.96%,
"Cleveland-Akron-Canton, OH",BPREP US,Vernon Logistics Portfolio,31600 Carter Street,,,,2.00%,1.18%,0.07%,,,,,,,,,,
"Columbia-Jefferson City-Moberly, MO",BPY / CIC/BPY Retail,Core Retail,Columbia Mall MO,,,,,,,,,,,,,-1.03%,0.49%,0.13%,
"Columbia-Sumter-Orangeburg, SC",BPY / CIC/BPY Retail / Future Fund SMA,Future Fund Retail Portfolio,Columbiana Centre,,,,,,,,,,,,,2.01%,2.00%,0.40%,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Alliance Gateway,,,,14.31%,1.97%,0.55%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Commerce 45 I,,,,2.50%,1.97%,1.77%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Commerce 45 II,,,,32.00%,1.97%,1.02%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Lone Star A,,,,4.00%,1.97%,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Lone Star B,,,,2.60%,1.97%,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Lone Star C,,,,3.35%,1.97%,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Parkway Business Center 1,,,,3.00%,1.97%,0.33%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Parkway Business Center 2,,,,9.86%,1.97%,0.27%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Passport Business Park 100,,,,3.00%,1.97%,0.87%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Passport Business Park 200,,,,2.23%,1.97%,1.27%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Passport Business Park 300,,,,2.25%,1.97%,1.21%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Sterling Street 1,,,,3.68%,1.97%,0.46%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,Vernon Logistics Portfolio,2080 Lonestar Drive,,,,2.00%,1.97%,0.06%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,Vernon Logistics Portfolio,950 Solon Road,,,,2.00%,1.97%,0.48%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPY / CIC/BPY Retail,Core Retail,Hulen Mall,,,,,,,,,,,,,1.52%,2.45%,0.45%,
"Dallas-Fort Worth, TX-OK",BPY / CIC/BPY Retail,Core Retail,Stonebriar Centre,,,,,,,,,,,,,3.62%,2.45%,2.17%,
"Dallas-Fort Worth, TX-OK",BPY / CIC/BPY Retail,Core Retail,The Parks Mall at Arlington,,,,,,,,,,,,,3.39%,2.45%,1.04%,
"Dallas-Fort Worth, TX-OK",BPY / CIC/BPY Retail,Core Retail,Town East Mall,,,,,,,,,,,,,-0.62%,2.45%,0.67%,
"Dallas-Fort Worth, TX-OK",BSREP III,BSREP III US Logistics,2003 MacArthur Blvd,,,,-4.66%,1.97%,1.28%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP III,BSREP III US Logistics,625 Westport Parkway,,,,-49.19%,1.97%,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP III,BSREP III US Logistics,633 Westport Parkway,,,,-46.46%,1.97%,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP III / BSREP III Forest City Co-Invest,Forest City,The Continental,,,,,,,-5.35%,0.94%,0.37%,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP III / BSREP III Forest City Co-Invest,Forest City,The Merc,,,,,,,-2.14%,0.94%,0.37%,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP III / BSREP III Forest City Co-Invest,Forest City,The Wilson Building,,,,,,,-7.99%,0.94%,0.29%,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP IV,Watermark Lodging,Le Meridian Dallas,-0.47%,0.82%,1.64%,,,,,,,,,,,,,
"Denver-Aurora-Greeley, CO",BPREP US,National Logistics Portfolio,Easter Business Center,,,,5.05%,1.46%,0.31%,,,,,,,,,,
"Denver-Aurora-Greeley, CO",BPREP US,National Logistics Portfolio,Penhall Denver,,,,0.00%,,0.09%,,,,,,,,,,
"Denver-Aurora-Greeley, CO",BPREP US,Vernon Logistics Portfolio,4770 Joliet Street,,,,2.00%,1.46%,0.11%,,,,,,,,,,
"Denver-Aurora-Greeley, CO",BPY,BPY Office US,Republic Plaza,,,,,,,,,,23.56%,0.80%,0.01%,,,,
"Denver-Aurora-Greeley, CO",BPY / BWS / CIC/BPY Retail,Park Meadows,Park Meadows,,,,,,,,,,,,,4.42%,1.79%,3.08%,
"Denver-Aurora-Greeley, CO",BPY / CIC/BPY Retail,Core Retail,Southwest Plaza,,,,,,,,,,,,,-6.34%,1.79%,0.16%,
"Denver-Aurora-Greeley, CO",BSREP IV,Watermark Lodging,Embassy Suites Denver,8.02%,3.19%,3.01%,,,,,,,,,,,,,
"Des Moines-West Des Moines-Ames, IA",BPY / BWS / CIC/BPY Retail,Jordan Creek Town Center,Jordan Creek Town Center,,,,,,,,,,,,,2.42%,0.12%,1.03%,
"Greensboro--Winston-Salem--High Point, NC",BPY / CIC/BPY Retail,Core Retail,Four Seasons Town Centre,,,,,,,,,,,,,-1.56%,2.52%,0.27%,
"Greenville-Washington, NC",BPY / BSREP II,Rouse Properties,Greenville Mall,,,,,,,,,,,,,7.25%,2.17%,,
"Houston-Pasadena, TX",,,C. Baldwin,-6.95%,8.03%,2.27%,,,,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Beltway Distribution Center,,,,17.28%,1.08%,0.47%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Park 10 Business Center 1,,,,4.73%,1.08%,0.34%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Park 10 Business Center 2,,,,10.37%,1.08%,0.16%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Park 10 Business Center 3,,,,3.03%,1.08%,0.12%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Park 10 Business Center 4,,,,9.94%,1.08%,0.09%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Park 10 Business Center 5,,,,6.02%,1.08%,0.08%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,Vernon Logistics Portfolio,4420 Windfern Road,,,,2.00%,1.08%,0.09%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,Village on Memorial,Village on Memorial,,,,,,,0.42%,2.18%,0.91%,,,,,,,
"Houston-Pasadena, TX",BPY,BPY Office US,TotalEnergies Tower,,,,,,,,,,-9.66%,1.11%,0.07%,,,,
"Houston-Pasadena, TX",BPY / BWS / CIC/BPY Retail,The Woodlands Mall,The Woodlands Mall,,,,,,,,,,,,,1.13%,1.89%,1.86%,
"Houston-Pasadena, TX",BPY / CIC/BPY Retail,Core Retail,Baybrook Mall,,,,,,,,,,,,,2.03%,1.89%,1.56%,
"Houston-Pasadena, TX",BPY / CIC/BPY Retail,Core Retail,Deerbrook Mall,,,,,,,,,,,,,-0.10%,1.89%,0.77%,
"Houston-Pasadena, TX",BPY / CIC/BPY Retail,Core Retail,First Colony Mall,,,,,,,,,,,,,2.28%,1.89%,1.06%,
"Houston-Pasadena, TX",BPY / CIC/BPY Retail,Core Retail,Willowbrook Mall TX,,,,,,,,,,,,,1.26%,1.89%,1.06%,
"Houston-Pasadena, TX",BSREP III,BSREP III US Logistics,290 Eight Distribution Center,,,,3.00%,1.08%,0.93%,,,,,,,,,,
"Houston-Pasadena, TX",BSREP IV,BSREP IV North American Logistics Portfolio,17506 East Hardy Road,,,,24.03%,1.08%,0.82%,,,,,,,,,,
"Houston-Pasadena, TX",BSREP IV,BSREP IV North American Logistics Portfolio,Interwood Business Park,,,,3.04%,1.08%,0.41%,,,,,,,,,,
"Houston-Pasadena, TX",US Office Fund,Allen Center,One Allen Center,,,,,,,,,,1.10%,1.11%,0.79%,,,,
"Houston-Pasadena, TX",US Office Fund,Allen Center,Three Allen Center,,,,,,,,,,-13.57%,1.11%,0.89%,,,,
"Houston-Pasadena, TX",US Office Fund,Allen Center,Two Allen Center,,,,,,,,,,2.01%,1.11%,2.11%,,,,
"Idaho Falls-Rexburg-Blackfoot, ID",BPY / CIC/BPY Retail,Core Retail,Grand Teton Mall,,,,,,,,,,,,,2.90%,0.78%,0.11%,
"Indianapolis-Carmel-Muncie, IN",Brookfield US REIT (NTR),187 Bartram Parkway,Aisin Logistics Center,,,,0.00%,,0.53%,,,,,,,,,,
"Kansas City-Overland Park-Kansas City, MO-KS",BSREP IV,Watermark Lodging,Marriott Kansas,0.79%,0.82%,1.79%,,,,,,,,,,,,,
"Las Vegas-Henderson, NV",BPREP US,National Logistics Portfolio,Penhall Las Vegas,,,,37.33%,0.17%,0.16%,,,,,,,,,,
"Las Vegas-Henderson, NV",BPREP US,Vernon Logistics Portfolio,4120 Sobb Avenue,,,,2.00%,0.17%,0.12%,,,,,,,,,,
"Las Vegas-Henderson, NV",BPY / BWS / CIC/BPY Retail,Fashion Show Las Vegas,Fashion Show,,,,,,,,,,,,,-2.74%,1.75%,4.64%,
"Las Vegas-Henderson, NV",BPY / BWS / CIC/BPY Retail,Grand Canal Shoppes,The Grand Canal Shoppes,,,,,,,,,,,,,-1.14%,1.75%,3.78%,
"Las Vegas-Henderson, NV",BPY / CIC/BPY Retail,Core Retail,Meadows Mall,,,,,,,,,,,,,-6.91%,1.75%,0.23%,
"Los Angeles-Long Beach, CA",,,Promenade Temecula,,,,,,,,,,,,,0.44%,0.81%,,
"Los Angeles-Long Beach, CA",,,Victoria Gardens,,,,,,,,,,,,,6.14%,0.81%,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,11171 Venture Drive,,,,-0.07%,1.49%,0.28%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,15910 Valley View Ave,,,,3.00%,1.49%,0.65%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,16404 Knott Ave,,,,3.00%,1.49%,0.43%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,1729 Apollo Court,,,,38.83%,1.49%,0.61%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,1771 Delilah,,,,-1.01%,1.49%,0.34%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,1901 W. Center Street,,,,3.00%,1.49%,1.57%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,21046 Figueroa,,,,4.17%,1.49%,0.63%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,21112 Figueroa,,,,3.00%,1.49%,0.71%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,3425/3435 Vernon,,,,3.26%,1.49%,1.77%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,3501 Vernon,,,,2.96%,1.49%,0.56%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,4000 Noakes,,,,-22.08%,1.49%,,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,4625 District Boulevard,,,,3.83%,1.49%,0.45%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,Canyon Commerce Center,,,,4.00%,1.49%,1.63%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,I-210 Logistics Center II,,,,3.00%,1.49%,4.22%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,Penhall Anaheim,,,,0.00%,,0.52%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,Vernon Logistics Portfolio,2100 38th Street,,,,2.00%,1.49%,0.81%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,Vernon Logistics Portfolio,2200 East 55th Avenue,,,,2.00%,1.49%,1.07%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,Vernon Logistics Portfolio,2450 East Vernon Avenue,,,,2.00%,1.49%,0.25%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,Vernon Logistics Portfolio,2503 East Vernon Avenue,,,,2.00%,1.49%,1.12%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,Vernon Logistics Portfolio,2620 East Vernon Avenue,,,,2.00%,1.49%,0.06%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,Vernon Logistics Portfolio,2651 East Vernon Ave,,,,2.02%,1.49%,0.64%,,,,,,,,,,
