met_name,year,real_rent_growth,real_rent_growth_next_year,density_rented,bedroom_density_rented,real_relative_rent_growth_next_year,supply_growth
"Detroit-Warren-Dearborn, MI",2022,-0.030410804999200798,-0.015470814913894699,2.0900846042241414,0.6910024824979043,6.432645022850028e-06,0.008814874264312466
"Baltimore-Columbia-Towson, MD",2007,-0.0132271479311552,0.01011340909883261,2.2872671162792217,0.7600164678073918,0.002237121341750031,0.012184878920159467
"Oxnard-Thousand Oaks-Ventura, CA",2018,0.018286450580612203,0.008095300861930797,3.164118276718813,0.9914028917545916,-0.00494033284485345,0.031609195402298854
"Pittsburgh, PA",2020,-0.009652138109118101,-0.013875889965818393,1.8009122644602595,0.6205754123855223,-0.03119805082678795,0.013603334366160581
"Las Vegas-Henderson-Paradise, NV",2022,-0.06868644825103712,-0.04193028530516815,2.5922595560693127,0.812095972477815,-0.0264530377462506,0.012212183862471325
"Austin-Round Rock, TX",2010,-0.0026755619640875007,-0.008488075724261301,2.4014882761155003,0.8144563759836929,0.0104422424919903,0.011383775124716982
"Santa Rosa, CA",2010,-0.0018605513344932007,-0.0171542399659925,2.6435276778245456,0.8789274094218094,0.001776078250259102,-0.0002389600458803288
"Greensboro-High Point, NC",2014,0.0113536681669817,0.021200813988353703,2.461699139898192,0.7712079010824945,-0.005318380892276799,0.03141399240647143
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2024,-0.008576449287665398,-0.0118540656137466,2.0632786507467844,0.7053591284902447,0.007344401441514535,0.03651189964394766
"Lubbock, TX",2010,-0.013819349204231352,-0.021498555234091762,2.4034214690302016,0.7535446205170976,-0.002568237017840161,0.028347471276709977
"Augusta-Richmond County, GA-SC",2021,0.012954898735954304,-0.030516826761094996,2.391020331619497,0.7320281138909223,-0.012602107599377597,0.048343529037896245
"Little Rock-North Little Rock-Conway, AR",2020,0.023374218373760202,0.0024818187565346095,2.0890003375608814,0.6906537675415241,-0.014840342104434946,0.04429781327325032
"Oklahoma City, OK",2009,-0.0562026693518696,-0.01288995731952071,2.4277900829863266,0.7677925988467337,-0.0055229223798960395,0.010881267302368502
"Syracuse, NY",2007,-0.009594868818220095,0.00675459469914317,2.1983211049896862,0.7209582120226066,-0.0011216930579394102,0.0047570281787849755
"El Paso, TX",2023,-0.008402940839912401,-0.0132422151990061,2.5636064111549,0.7864711745998062,-0.0049684559926390995,0.01541840544695805
"Worcester, MA-CT",2009,-0.059018588348799694,0.004191826299257299,2.255391851420072,0.7455978311427698,0.01155886123888197,0.018413051856292554
"Corpus Christi, TX",2012,0.017201504595232002,0.0341418062985573,2.619835091436731,0.8619754171655477,0.02815769333392385,0.0
"Palm Bay-Melbourne-Titusville, FL",2018,0.020538165048614502,0.007946810790634199,2.42853262837691,0.7738192769694102,-0.005088822916150048,0.028052641994854542
"Louisville/Jefferson County, KY-IN",2019,0.0091657593039036,0.0082711743854132,2.3144417868799363,0.7513522476124616,-0.00899923685938115,0.026102382159148504
"Lincoln, NE",2010,-0.014697348992148713,-0.0185238671586089,2.1931080585685634,0.7318040194857994,0.00040645105764270176,0.007562608480039673
"Fayetteville-Springdale-Rogers, AR-MO",2024,-0.008166337666643101,-0.01697783827215433,2.2905688081947537,0.7224251868949345,0.0022206287831068074,0.06092467233184502
"Urban Honolulu, HI",2006,0.057198378008720394,0.019018758138719602,2.7076119071067763,0.8938033375719361,0.032600398175418405,0.00018029712966969566
"Lansing-East Lansing, MI",2009,-0.048059598266655,-0.013552767430473418,2.1464155848718534,0.7133916008383981,-0.006185732490848746,0.0
"Atlanta-Sandy Springs-Roswell, GA",2022,-0.0464191317829771,-0.0568306586001177,2.408540635540106,0.7567687073586967,-0.04135341104120015,0.029723991507430998
"Kansas City, MO-KS",2022,-0.006393128288118395,-0.006092025921132102,2.0445451558305487,0.6876004074156317,0.009385221637785447,0.028555188157420253
"Lansing-East Lansing, MI",2015,0.019464445004369703,0.010598883484087898,2.2426611527838567,0.755720337905535,0.005352117121219599,0.004031409941807474
"Gainesville, FL",2024,-0.02102356199322391,-0.012848520683050202,1.8295222324008173,0.6200985221674877,0.006349946372210934,0.025908301231210816
"Los Angeles-Long Beach-Anaheim, CA",2015,0.044887990394737204,0.0165346958530769,2.924027087834978,1.0592054383668115,0.0112879294902086,0.00831660423001327
