CSA Name,Capital Pool,Investment,Property Name,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio, 
"Houston-Pasadena, TX",BPY / CIC/BPY Retail,Core Retail,First Colony Mall,,,,,,,,,,,,,2.35%,2.38%,1.07%,
"Houston-Pasadena, TX",BPY / CIC/BPY Retail,Core Retail,Willowbrook Mall TX,,,,,,,,,,,,,1.75%,2.38%,1.11%,
"Houston-Pasadena, TX",BSREP III,BSREP III US Logistics,290 Eight Distribution Center,,,,3.00%,1.87%,0.96%,,,,,,,,,,
"Houston-Pasadena, TX",BSREP IV,BSREP IV North American Logistics Portfolio,17506 East Hardy Road,,,,24.85%,1.87%,0.79%,,,,,,,,,,
"Houston-Pasadena, TX",BSREP IV,BSREP IV North American Logistics Portfolio,Interwood Business Park,,,,3.23%,1.87%,0.47%,,,,,,,,,,
"Houston-Pasadena, TX",US Office Fund,Allen Center,One Allen Center,,,,,,,,,,1.30%,1.83%,1.10%,,,,
"Houston-Pasadena, TX",US Office Fund,Allen Center,Three Allen Center,,,,,,,,,,-18.53%,1.83%,1.32%,,,,
"Houston-Pasadena, TX",US Office Fund,Allen Center,Two Allen Center,,,,,,,,,,-1.09%,1.83%,2.19%,,,,
"Idaho Falls-Rexburg-Blackfoot, ID",BPY / CIC/BPY Retail,Core Retail,Grand Teton Mall,,,,,,,,,,,,,3.34%,1.77%,0.11%,
"Indianapolis-Carmel-Muncie, IN",Brookfield US REIT (NTR),187 Bartram Parkway,Aisin Logistics Center,,,,0.00%,,0.53%,,,,,,,,,,
"Kansas City-Overland Park-Kansas City, MO-KS",BSREP IV,Watermark Lodging,Marriott Kansas,4.01%,1.63%,1.65%,,,,,,,,,,,,,
"Las Vegas-Henderson, NV",BPREP US,National Logistics Portfolio,Penhall Las Vegas,,,,51.90%,2.54%,,,,,,,,,,,
"Las Vegas-Henderson, NV",BPREP US,Vernon Logistics Portfolio,4120 Sobb Avenue,,,,2.00%,2.54%,0.13%,,,,,,,,,,
"Las Vegas-Henderson, NV",BPY / BWS / CIC/BPY Retail,Fashion Show Las Vegas,Fashion Show,,,,,,,,,,,,,-1.79%,3.52%,4.58%,
"Las Vegas-Henderson, NV",BPY / BWS / CIC/BPY Retail,Grand Canal Shoppes,The Grand Canal Shoppes,,,,,,,,,,,,,-1.85%,3.52%,3.85%,
"Las Vegas-Henderson, NV",BPY / CIC/BPY Retail,Core Retail,Meadows Mall,,,,,,,,,,,,,-2.95%,3.52%,0.23%,
"Los Angeles-Long Beach, CA",,,Promenade Temecula,,,,,,,,,,,,,-0.05%,1.49%,,
"Los Angeles-Long Beach, CA",,,Victoria Gardens,,,,,,,,,,,,,6.08%,1.49%,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,11171 Venture Drive,,,,15.30%,1.02%,0.27%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,15910 Valley View Ave,,,,3.00%,1.02%,0.68%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,16306 Bloomfield,,,,56.61%,1.02%,,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,16404 Knott Ave,,,,3.00%,1.02%,0.46%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,1729 Apollo Court,,,,67.76%,1.02%,,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,1771 Delilah,,,,-99.84%,1.02%,,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,1901 W. Center Street,,,,3.00%,1.02%,1.68%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,21046 Figueroa,,,,3.83%,1.02%,0.91%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,21112 Figueroa,,,,3.00%,1.02%,0.85%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,3425/3435 Vernon,,,,3.26%,1.02%,1.80%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,3501 Vernon,,,,2.97%,1.02%,0.56%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,4000 Noakes,,,,4.25%,1.02%,1.81%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,4625 District Boulevard,,,,6.14%,1.02%,0.49%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,Canyon Commerce Center,,,,4.00%,1.02%,1.82%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,I-210 Logistics Center II,,,,3.00%,1.02%,4.41%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,Penhall Anaheim,,,,2.33%,1.02%,0.53%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,Vernon Logistics Portfolio,2100 38th Street,,,,2.00%,1.02%,0.84%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,Vernon Logistics Portfolio,2200 East 55th Avenue,,,,2.00%,1.02%,1.13%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,Vernon Logistics Portfolio,2450 East Vernon Avenue,,,,2.00%,1.02%,0.26%,,,,,,,,,,
