MET_NAME,costar_name
"Lafayette, LA",Lafayette - LA USA
"La Crosse-Onalaska, WI-MN",La Crosse-Onalaska - WI USA
"Knoxville, TN",Knoxville - TN USA
"Kingsport-Bristol-Bristol, TN-VA",Kingsport - TN USA
"Killeen-Temple, TX",Killeen - TX USA
"Kennewick-Richland, WA",Kennewick-Richland - WA USA
"Kansas City, MO-KS",Kansas City - MO USA
"Kankakee, IL",Kankakee - IL USA
"Kalamazoo-Portage, MI",Kalamazoo - MI USA
"Joplin, MO",Joplin - MO USA
"Johnstown, PA",Johnstown - PA USA
"Janesville-Beloit, WI",Janesville-Beloit - WI USA
"Jacksonville, NC",Jacksonville - NC USA
"Jacksonville, FL",Jacksonville - FL USA
"Jackson, TN",Jackson - TN USA
"Jackson, MS",Jackson - MS USA
"Jackson, MI",Jackson - MI USA
"Iowa City, IA",Iowa City - IA USA
"Indianapolis-Carmel-Anderson, IN",Indianapolis - IN USA
"Huntsville, AL",Huntsville - AL USA
"Houston-The Woodlands-Sugar Land, TX",Houston - TX USA
"Houma-Thibodaux, LA",Houma-Thibodaux - LA USA
"Hilton Head Island-Bluffton-Beaufort, SC",Hilton Head Island - SC USA
"Hickory-Lenoir-Morganton, NC",Hickory - NC USA
"Hattiesburg, MS",Hattiesburg - MS USA
"Hartford-West Hartford-East Hartford, CT",Hartford - CT USA
"Harrisburg-Carlisle, PA",Harrisburg - PA USA
"Hanford-Corcoran, CA",Hanford-Corcoran - CA USA
"Hammond, LA",Hammond - LA USA
"Gulfport-Biloxi-Pascagoula, MS",Gulfport-Biloxi-Pascagoula - MS USA
"Greenville-Anderson-Mauldin, SC",Greenville - SC USA
"Greenville, NC",Greenville - NC USA
"Greensboro-High Point, NC",Greensboro - NC USA
"Greeley, CO",Greeley - CO USA
"Grand Rapids-Wyoming, MI",Grand Rapids - MI USA
"Grand Junction, CO",Grand Junction - CO USA
"Goldsboro, NC",Goldsboro - NC USA
"Glens Falls, NY",Glens Falls - NY USA
"Gainesville, GA",Gainesville - GA USA
"Gainesville, FL",Gainesville - FL USA
"Gadsden, AL",Gadsden - AL USA
"Fresno, CA",Fresno - CA USA
"Fort Wayne, IN",Fort Wayne - IN USA
"Fort Collins, CO",Fort Collins - CO USA
"Florence-Muscle Shoals, AL",Florence-Muscle Shoals - AL USA
"Flint, MI",Flint - MI USA
"Flagstaff, AZ",Flagstaff - AZ USA
